iter	MAE
299	1.884310037
300	1.880053262
301	1.877539976
302	1.872625416
303	1.871283496
304	1.870648566
305	1.867737001
306	1.863931331
307	1.862416144
308	1.860713516
309	1.857351598
310	1.854590237
311	1.851654735
312	1.850614343
313	1.84876575
314	1.846310024
315	1.844393445
316	1.837707929
317	1.834326855
318	1.833756551
319	1.82710111
320	1.825515486
321	1.8235477
322	1.818411431
323	1.817849057
324	1.815692567
325	1.812860971
326	1.808682526
327	1.806633332
328	1.802856395
329	1.80054941
330	1.79784742
331	1.793586523
332	1.792115595
333	1.789974436
334	1.789110015
335	1.787335726
336	1.779114872
337	1.776656675
338	1.774865346
339	1.770875867
340	1.769797041
341	1.767696099
342	1.76702233
343	1.765699073
344	1.755067061
345	1.753256772
346	1.752662795
347	1.750339724
348	1.748623084
349	1.746936637
350	1.738767119
351	1.737456389
352	1.734533069
353	1.730499788
354	1.727732284
355	1.726876179
356	1.72624239
357	1.725018748
358	1.718958101
359	1.717549841
360	1.715436317
361	1.708506437
362	1.705016851
363	1.702642074
364	1.699573665
365	1.695360473
366	1.691908946
367	1.691092077
368	1.686413843
369	1.685257234
370	1.684801722
371	1.683512649
372	1.678920867
373	1.676189203
374	1.675450107
375	1.673926893
376	1.671110214
377	1.669112912
378	1.668407555
379	1.667928091
380	1.664242201
381	1.663655801
382	1.663020062
383	1.660853221
384	1.657583214
385	1.657107127
386	1.655759212
387	1.654100012
388	1.651696507
389	1.649153908
390	1.647944361
391	1.644764795
392	1.643881454
393	1.639778856
394	1.638035888
395	1.635596438
396	1.633082152
397	1.628669857
398	1.623809113
399	1.623343132
400	1.622920286
401	1.622059804
402	1.620428433
403	1.618379881
404	1.615224089
405	1.61166531
406	1.610713184
407	1.608542109
408	1.602494188
409	1.601193664
410	1.599966182
411	1.596729536
412	1.596022787
413	1.595616581
414	1.594814318
415	1.591951852
416	1.59154512
417	1.591135162
418	1.590071427
419	1.589000759
420	1.588383772
421	1.58725397
422	1.586386705
423	1.586154687
424	1.583389018
425	1.581198996
426	1.579909702
427	1.578149908
428	1.572525961
429	1.570055588
430	1.56812656
431	1.566259296
432	1.56573615
433	1.563562959
434	1.563045827
435	1.56273481
436	1.561990486
437	1.560582137
438	1.557624085
439	1.556280401
440	1.554831345
441	1.554643255
442	1.55373017
443	1.553398641
444	1.550517978
445	1.548223177
446	1.545888749
447	1.545129492
448	1.540046873
449	1.538803904
450	1.538167989
451	1.53423885
452	1.533782473
453	1.533021308
454	1.532497209
455	1.530459938
456	1.527919397
457	1.527415516
458	1.524592736
459	1.523988635
460	1.52170799
461	1.519416234
462	1.518511427
463	1.515902446
464	1.512430218
465	1.510382022
466	1.500234967
467	1.498433693
468	1.497863821
469	1.497473352
470	1.494087605
471	1.492526292
472	1.490104622
473	1.485656912
474	1.484736278
475	1.483946797
476	1.482132734
477	1.481952307
478	1.475906662
479	1.473374008
480	1.471892298
481	1.470299921
482	1.466239091
483	1.461458464
484	1.460201223
485	1.45933764
486	1.458548531
487	1.451629328
488	1.447484315
489	1.446636624
490	1.44345009
491	1.442601325
492	1.442121315
493	1.438907318
494	1.438258551
495	1.437710747
496	1.436684351
497	1.434977056
498	1.433768783
499	1.432649571
500	1.431796967
501	1.428942681
502	1.427749863
503	1.427394356
504	1.426388559
505	1.422375405
506	1.421970542
507	1.421786863
508	1.421144325
509	1.420459226
510	1.419931725
511	1.418449405
512	1.418268711
513	1.417404344
514	1.417035884
515	1.415046007
516	1.413485297
517	1.413096491
518	1.412165719
519	1.411834762
520	1.410976364
521	1.410741188
522	1.410252839
523	1.409376998
524	1.408030188
525	1.406349339
526	1.405648914
527	1.403860026
528	1.402281577
529	1.401713485
530	1.401286564
531	1.400390582
532	1.399768419
533	1.397818881
534	1.396674961
535	1.395587923
536	1.393143178
537	1.391992243
538	1.38987453
539	1.38886255
540	1.385299409
541	1.384699889
542	1.384102228
543	1.37710932
544	1.376052316
545	1.375422563
546	1.375233124
547	1.374330941
548	1.373719834
549	1.371632657
550	1.369710762
551	1.369075787
552	1.368280542
553	1.367617298
554	1.363569775
555	1.362887927
556	1.361103586
557	1.359990099
558	1.359332438
559	1.357955669
560	1.357121886
561	1.353760686
562	1.353352607
563	1.351833057
564	1.348906439
565	1.348429465
566	1.347461585
567	1.34540629
568	1.344474449
569	1.344204454
570	1.343985288
571	1.343381562
572	1.341689428
573	1.339823943
574	1.339003774
575	1.338090084
576	1.337562689
577	1.336307111
578	1.334269055
579	1.33225597
580	1.331958894
581	1.33056032
582	1.330080577
583	1.329423221
584	1.329041902
585	1.327282748
586	1.326857622
587	1.32621787
588	1.325981921
589	1.32499585
590	1.32395293
591	1.323666301
592	1.32337336
593	1.322497654
594	1.322021848
595	1.321213122
596	1.320877806
597	1.317748162
598	1.317283891
599	1.315886322
